city,gu,waste_generation,recycled_amount,recycling_rate,population_total,househole,population_per_household,man_population,woman_population,man_woman_ratio,0to9_pop,10to19_pop,20to29_pop,30to39_pop,40to49_pop,50to59_pop,60to69_pop,70to79_pop,80to89_pop,90to99_pop,100over_pop,0to9_man_pop,10to19_man_pop,20to29_man_pop,30to39_man_pop,40to49_man_pop,50to59_man_pop,60to69_man_pop,70to79_man_pop,80to89_man_pop,90to99_man_pop,100over_man_pop,0to9_woman_pop,10to19_woman_pop,20to29_woman_pop,30to39_woman_pop,40to49_woman_pop,50to59_woman_pop,60to69_woman_pop,70to79_woman_pop,80to89_woman_pop,90to99_woman_pop,100over_woman_pop,P1,P2,P3,P4,P5,P6,P7,P8,P9,zero_restaurant,zero_re_cnt
seoul,jongno_gu,208.5,92.4,44.32,143850.0,73822.0,1.95,69638.0,74212.0,0.94,6726,10234,22718,19379,20580,24814,20387,11650,6362,960,40,3398,5058,10859,9649,9952,12429,10227,5199,2556,297,14,3328,5176,11859,9730,10628,12385,10160,6451,3806,663,26,0,0,0,0,0,0,1,0,0,1,29
seoul,jung_gu,229.8,87.4,38.03,122054.0,63880.0,1.91,59368.0,62686.0,0.95,6091,6500,18003,19862,17229,19939,18009,10336,5207,844,34,3114,3238,8338,9903,8824,10113,8986,4678,1931,229,14,2977,3262,9665,9959,8405,9826,9023,5658,3276,615,20,0,0,0,0,0,0,1,0,0,0,0
seoul,yongsan_gu,524.1,420.6,80.25,222083.0,111508.0,1.99,106666.0,115417.0,0.92,12380,14559,32347,37680,33400,36024,29389,15969,8802,1457,76,6322,7373,15149,18647,16438,17733,14225,6985,3344,431,19,6058,7186,17198,19033,16962,18291,15164,8984,5458,1026,57,0,0,0,0,0,0,1,0,1,1,28
seoul,seongdong_gu,209.8,105.8,50.43,284173.0,134357.0,2.12,138373.0,145800.0,0.95,18785,18940,42757,46229,42904,45723,38015,20216,9373,1179,52,9610,9392,21006,22665,21555,22601,18611,9034,3570,312,17,9175,9548,21751,23564,21349,23122,19404,11182,5803,867,35,1,1,0,0,0,0,1,0,1,1,82
seoul,gwangjin_gu,247.4,177.9,71.91,340062.0,169769.0,2.0,164091.0,175971.0,0.93,17276,24613,61501,54720,50153,53900,44314,22378,9848,1303,56,8858,12452,28851,27204,24709,26355,21118,10238,3942,348,16,8418,12161,32650,27516,25444,27545,23196,12140,5906,955,40,0,0,0,1,0,0,1,0,1,1,51
seoul,dongdaemun_gu,210.7,101.8,48.32,337443.0,169815.0,1.99,166447.0,170996.0,0.97,19123,22972,56485,48645,48744,52078,47535,27593,12687,1513,68,9790,11571,27466,25074,25171,26351,23130,12419,5054,404,17,9333,11401,29019,23571,23573,25727,24405,15174,7633,1109,51,1,1,0,0,0,0,1,0,1,0,0
seoul,jungnang_gu,202.3,90.1,44.54,388736.0,188134.0,2.07,191575.0,197161.0,0.97,21104,25204,53978,57752,55654,67016,61162,31813,13358,1630,65,10844,12811,26316,29669,28867,33182,29645,14522,5321,378,20,10260,12393,27662,28083,26787,33834,31517,17291,8037,1252,45,0,0,0,0,0,0,1,0,0,0,0
seoul,seongbuk_gu,253.3,141.5,55.86,433531.0,197884.0,2.19,208802.0,224729.0,0.93,26996,36530,65997,58397,67403,70157,57226,32822,15857,2072,74,13779,18564,31605,29138,33105,34634,26890,14290,6261,523,13,13217,17966,34392,29259,34298,35523,30336,18532,9596,1549,61,1,1,0,0,0,0,1,0,1,0,0
seoul,gangbuk_gu,182.4,104.7,57.4,296726.0,144866.0,2.05,144228.0,152498.0,0.95,13526,20469,40597,36431,43101,51421,47079,29422,13125,1507,48,6957,10397,19766,19094,22192,25429,22032,12683,5258,407,13,6569,10072,20831,17337,20909,25992,25047,16739,7867,1100,35,0,0,0,0,0,0,1,1,0,0,0
seoul,dobong_gu,186.8,120.5,64.51,315162.0,138951.0,2.27,153252.0,161910.0,0.95,16391,23820,40608,38860,45417,55766,51611,27742,13143,1718,86,8531,12270,20488,19888,22537,26778,24351,12704,5215,460,30,7860,11550,20120,18972,22880,28988,27260,15038,7928,1258,56,0,0,1,0,0,0,1,1,0,0,0
