,store_name,address,district,district_en
0,라이브보울,서울 강남구 역삼동 642-16,강남구,gangnam_gu
1,마치래빗 강남점,서울 강남구 역삼동 826-37,강남구,gangnam_gu
2,리밍교대점,서울 서초구 서초동 1576-1,서초구,seocho_gu
3,웍스 50 덮밥전문점,서울 강남구 청담동 119-11,강남구,gangnam_gu
4,양재오제섞어,서울 강남구 논현동 108,강남구,gangnam_gu
5,봉추찜닭,서울 서초구 서초동 1574-6,서초구,seocho_gu
6,한식의품격강남,서울 강남구 논현동 138-19,강남구,gangnam_gu
7,초록밭샐러드&그릭요거트,서울 강남구 삼성동 140-3,강남구,gangnam_gu
8,한식밥상 강남점,서울 강남구 논현동 224-10,강남구,gangnam_gu
9,까르보마마,서울 서초구 양재동 313-5,서초구,seocho_gu
10,앤샐러드,서울 강남구 역삼동 626-30,강남구,gangnam_gu
11,상아김밥-본점,서울 서초구 잠원동 35-1,서초구,seocho_gu
12,미스꼬레아김치볶음밥,서울 강남구 대치동 989,강남구,gangnam_gu
13,흥미면옥,서울 서초구 방배동 773-7,서초구,seocho_gu
14,37.5-서래마을점,서울 서초구 반포동 106-8,서초구,seocho_gu
15,강릉엄지네꼬막집-양재점,서울 서초구 양재동 276-10,서초구,seocho_gu
16,퍼남사이곤,서울 강남구 논현동 114-14,강남구,gangnam_gu
17,홍짜장-방배점,서울 서초구 방배동 911-1,서초구,seocho_gu
18,겐조라멘,서울 서초구 서초동 1303-35,서초구,seocho_gu
19,ZAL돼지,서울 서초구 양재동 263-16,서초구,seocho_gu
20,와우곱창,서울 강남구 논현동 145-16,강남구,gangnam_gu
21,서병장 부대찌개 교대점,서울 서초구 서초동 1660-27,서초구,seocho_gu
22,정 한뿌리죽 키친 서초점,서울 서초구 서초동 1680-1,서초구,seocho_gu
23,한뿌리죽 키친 삼성점,서울 강남구 삼성동 144-14,강남구,gangnam_gu
24,한뿌리죽 서초점,서울 서초구 서초동 1680-1,서초구,seocho_gu
25,부거부거,서울 강남구 역삼동 642-16,강남구,gangnam_gu
26,한정남의 샤오차이,서울 강남구 역삼동 656-33,강남구,gangnam_gu
27,우시라멘,서울 강남구 개포동 1237-8,강남구,gangnam_gu
28,생선물은고양이,서울 강남구 논현동 191-3,강남구,gangnam_gu
29,카페시벳 신림점,서울 관악구 신림동 1636-28,관악구,gwanak_gu
30,크로플덕오리아가씨 서울대입구역점,서울 관악구 봉천동 10-41,관악구,gwanak_gu
31,정우보쌈,서울 강남구 논현동 225-6,강남구,gangnam_gu
32,막불감동,서울 관악구 신림동 1433-60,관악구,gwanak_gu
33,타코랑,서울 관악구 봉천동 924-36,관악구,gwanak_gu
34,재치백작,서울 관악구 봉천동 969-7,관악구,gwanak_gu
35,153테이블,서울 강남구 논현동 226-7,강남구,gangnam_gu
36,태리로제떡볶이 봉천점,서울 관악구 봉천동 1605-7,관악구,gwanak_gu
37,어서오소LA갈비찜,서울 관악구 신림동 1419-2,관악구,gwanak_gu
38,설미당,서울 관악구 봉천동 20-1,관악구,gwanak_gu
39,쭝일아찌 빨강떡볶이,서울 관악구 봉천동 951-5,관악구,gwanak_gu
40,사천마라탕,서울 관악구 봉천동 865-2,관악구,gwanak_gu
41,카페5,서울 관악구 봉천동 1708,관악구,gwanak_gu
42,샐러드식당 관악봉천점,서울 관악구 봉천동 15-50,관악구,gwanak_gu
43,바이통타이 봉천직영점(젠),서울 관악구 봉천동 15-5,관악구,gwanak_gu
44,백순대본가새맛 군자점,서울 광진구 군자동 360-20,광진구,gwangjin_gu
45,금강에프앤비주식회사,서울 광진구 구의동 671,광진구,gwangjin_gu
46,금강에프앤비주식회사,서울 광진구 구의동 671,광진구,gwangjin_gu
47,달팽이부엌,서울 광진구 자양동 602-6,광진구,gwangjin_gu
48,이사장푸드(뚝배기집),서울 광진구 중곡동 129-42,광진구,gwangjin_gu
49,건대장터국밥,서울 광진구 화양동 12-42,광진구,gwangjin_gu
50,130마라탕,서울 광진구 자양동 608-21,광진구,gwangjin_gu
