store_name,address,Latitude,Longitude,district,district_en
라이브보울,서울 강남구 역삼동 642-16,37.5009488,127.0355183,강남구,gangnam_gu
마치래빗 강남점,서울 강남구 역삼동 826-37,37.4953995,127.030406,강남구,gangnam_gu
리밍교대점,서울 서초구 서초동 1576-1,37.4912525,127.0135923,서초구,seocho_gu
웍스 50 덮밥전문점,서울 강남구 청담동 119-11,37.5246327,127.0479644,강남구,gangnam_gu
양재오제섞어,서울 강남구 논현동 108,37.5184523,127.03803,강남구,gangnam_gu
봉추찜닭,서울 서초구 서초동 1574-6,37.4922413,127.0132113,서초구,seocho_gu
한식의품격강남,서울 강남구 논현동 138-19,37.5101673,127.0256168,강남구,gangnam_gu
초록밭샐러드&그릭요거트,서울 강남구 삼성동 140-3,37.5067648,127.0480846,강남구,gangnam_gu
한식밥상 강남점,서울 강남구 논현동 224-10,37.5107394,127.0352163,강남구,gangnam_gu
까르보마마,서울 서초구 양재동 313-5,37.4712011,127.0400583,서초구,seocho_gu
앤샐러드,서울 강남구 역삼동 626-30,37.5037234,127.033337,강남구,gangnam_gu
상아김밥-본점,서울 서초구 잠원동 35-1,37.5128107,127.0177,서초구,seocho_gu
미스꼬레아김치볶음밥,서울 강남구 대치동 989,37.4986375,127.0614624,강남구,gangnam_gu
흥미면옥,서울 서초구 방배동 773-7,37.4946981,126.9895932,서초구,seocho_gu
37.5-서래마을점,서울 서초구 반포동 106-8,37.4988601,126.9974725,서초구,seocho_gu
강릉엄지네꼬막집-양재점,서울 서초구 양재동 276-10,37.4763011,127.0449692,서초구,seocho_gu
퍼남사이곤,서울 강남구 논현동 114-14,37.5170999,127.0363716,강남구,gangnam_gu
홍짜장-방배점,서울 서초구 방배동 911-1,37.4827038,126.9954039,서초구,seocho_gu
겐조라멘,서울 서초구 서초동 1303-35,37.5028472,127.0245444,서초구,seocho_gu
ZAL돼지,서울 서초구 양재동 263-16,37.4761602,127.0425861,서초구,seocho_gu
와우곱창,서울 강남구 논현동 145-16,37.5092145,127.0239805,강남구,gangnam_gu
서병장 부대찌개 교대점,서울 서초구 서초동 1660-27,37.4922602,127.0158853,서초구,seocho_gu
정 한뿌리죽 키친 서초점,서울 서초구 서초동 1680-1,37.4962832,127.0204008,서초구,seocho_gu
한뿌리죽 키친 삼성점,서울 강남구 삼성동 144-14,37.5080135,127.0553957,강남구,gangnam_gu
한뿌리죽 서초점,서울 서초구 서초동 1680-1,37.4962832,127.0204008,서초구,seocho_gu
부거부거,서울 강남구 역삼동 642-16,37.5009488,127.0355183,강남구,gangnam_gu
한정남의 샤오차이,서울 강남구 역삼동 656-33,37.5068872,127.0391807,강남구,gangnam_gu
우시라멘,서울 강남구 개포동 1237-8,37.4782439,127.0466635,강남구,gangnam_gu
생선물은고양이,서울 강남구 논현동 191-3,37.5085429,127.0322469,강남구,gangnam_gu
카페시벳 신림점,서울 관악구 신림동 1636-28,37.4810295,126.928229,관악구,gwanak_gu
크로플덕오리아가씨 서울대입구역점,서울 관악구 봉천동 10-41,37.4889432,126.9588981,관악구,gwanak_gu
정우보쌈,서울 강남구 논현동 225-6,37.5105414,127.0359456,강남구,gangnam_gu
막불감동,서울 관악구 신림동 1433-60,37.4842936,126.9281634,관악구,gwanak_gu
타코랑,서울 관악구 봉천동 924-36,37.4832807,126.9439466,관악구,gwanak_gu
재치백작,서울 관악구 봉천동 969-7,37.4881789,126.9317974,관악구,gwanak_gu
153테이블,서울 강남구 논현동 226-7,37.5099615,127.0351746,강남구,gangnam_gu
태리로제떡볶이 봉천점,서울 관악구 봉천동 1605-7,37.4779207,126.954102,관악구,gwanak_gu
어서오소LA갈비찜,서울 관악구 신림동 1419-2,37.486492,126.9307103,관악구,gwanak_gu
설미당,서울 관악구 봉천동 20-1,37.4858065,126.9576196,관악구,gwanak_gu
쭝일아찌 빨강떡볶이,서울 관악구 봉천동 951-5,37.4858963,126.9388595,관악구,gwanak_gu
사천마라탕,서울 관악구 봉천동 865-2,37.4792787,126.9508493,관악구,gwanak_gu
카페5,서울 관악구 봉천동 1708,37.4845264,126.9428948,관악구,gwanak_gu
샐러드식당 관악봉천점,서울 관악구 봉천동 15-50,37.4865525,126.9582699,관악구,gwanak_gu
바이통타이 봉천직영점(젠),서울 관악구 봉천동 15-5,37.4870189,126.9593039,관악구,gwanak_gu
백순대본가새맛 군자점,서울 광진구 군자동 360-20,37.5485676,127.07022,광진구,gwangjin_gu
금강에프앤비주식회사,서울 광진구 구의동 671,37.5454994,127.0887779,광진구,gwangjin_gu
금강에프앤비주식회사,서울 광진구 구의동 671,37.5454994,127.0887779,광진구,gwangjin_gu
달팽이부엌,서울 광진구 자양동 602-6,37.531469,127.0765,광진구,gwangjin_gu
이사장푸드(뚝배기집),서울 광진구 중곡동 129-42,37.5561625,127.0859688,광진구,gwangjin_gu
건대장터국밥,서울 광진구 화양동 12-42,37.5441826,127.0700472,광진구,gwangjin_gu
130마라탕,서울 광진구 자양동 608-21,37.5327013,127.0758253,광진구,gwangjin_gu
